r,alpha,beta,x
"[0.05687286145623845, 0.07729520952189091, 0.28481753964940926, 0.14125418360631237, 0.06713551960935117]","[0.06637278632886358, 0.10408577594845406, 0.07765643553228671, 0.07484458122344381, 0.12511841755935188]","[0.45236979185503945, 0.5150273801075351, 0.5180673074545701, 0.4816659795048849, 0.4395521708997903]","[6.637278632886358, 10.408577594845406, 51.80673074545701, 18.635571270876028, 12.511841755935189]"
"[0.43741349626382936, 0.09458056915747766, 0.5434175229341445, 0.23196325575845972, 0.22374006687645442]","[0.06859400769261813, 0.10713356677837808, 0.0729362071845652, 0.07831852406176869, 0.12007202844738164]","[0.39734340242991734, 0.43020434142002856, 0.4602738599725714, 0.36324100010960964, 0.508211689133703]","[23.420202073990026, 10.713356677837808, 46.02738599725714, 7.831852406176869, 12.007202844738165]"
"[0.29238954154946306, 0.39985790030220764, 0.2940714703475095, 0.3174176654320949, 0.052797082087054595]","[0.05671222252057572, 0.060031665453461225, 0.10813576135428218, 0.11969380274820889, 0.12467657708592421]","[0.4544896501985006, 0.4679352590403369, 0.5491408987314004, 0.4705078175214134, 0.509736171193088]","[5.671222252057572, 46.793525904033686, 10.81357613542822, 24.2540179998881, 12.467657708592421]"
"[0.11535046147355933, 0.3658207985553039, 0.547597651187791, 0.3387476821410494, 0.4595659347572093]","[0.113484179676116, 0.14702968142356604, 0.11707190841373162, 0.08667155866880016, 0.1353992388186641]","[0.3520645891107065, 0.48618428106950884, 0.3607406224896085, 0.5084428748477252, 0.5283302076151066]","[11.3484179676116, 14.702968142356603, 36.07406224896085, 8.667155866880016, 29.20739577419093]"
"[0.35662046642531364, 0.5134644585158311, 0.21512980178184943, 0.237318370419985, 0.23956935747313096]","[0.07406418854347768, 0.08653034398557023, 0.05657643342443826, 0.08983112104741188, 0.07064414373222966]","[0.46786237088823074, 0.506601286406803, 0.5292604122135992, 0.4754710875219095, 0.5288929297905832]","[27.63470153891174, 50.6601286406803, 5.6576433424438255, 8.983112104741188, 7.064414373222966]"
"[0.4089825805206605, 0.19529519847338656, 0.3582031888174508, 0.24684671640715022, 0.17333062782398695]","[0.08166845935866884, 0.07974018375157833, 0.10098503911903704, 0.0783080634145235, 0.05230101904164489]","[0.4115242934436423, 0.5341926208766375, 0.4332659871970601, 0.5030258681202022, 0.485331581392659]","[41.15242934436423, 7.974018375157834, 37.812644034861094, 7.83080634145235, 5.230101904164489]"
"[0.47409746110937434, 0.1536446099398745, 0.3081210472795611, 0.09847153129427434, 0.27697633609550304]","[0.13343762500262646, 0.0992404654069173, 0.0603686293142576, 0.1176077600454593, 0.13211641636358545]","[0.4729068566022635, 0.4830952893211929, 0.4829908392678439, 0.3906247058363675, 0.35352102765567855]","[47.29068566022635, 9.92404654069173, 17.812850158177447, 11.76077600454593, 13.211641636358545]"
"[0.29512535864399836, 0.08984222680337985, 0.3271872295482818, 0.2553745053047899, 0.3641826474252512]","[0.0908870887267489, 0.08246937605602474, 0.14911792078589325, 0.11743268231294854, 0.05055799244242229]","[0.43467534876644554, 0.5330854855463176, 0.4912850220832499, 0.36900165934485174, 0.41032958856042956]","[9.088708872674891, 8.246937605602474, 29.888126434384837, 11.743268231294854, 41.03295885604295]"
"[0.17305150014834564, 0.053378440379858796, 0.5460737538200224, 0.27042263756423085, 0.449559657637051]","[0.06068871682163837, 0.12194517019254421, 0.12524095546821637, 0.08808168610161815, 0.06808946031623933]","[0.4293653824348898, 0.49898335660202886, 0.4308297632093021, 0.47427228282404116, 0.38957256889517183]","[6.068871682163837, 12.194517019254421, 43.082976320930214, 8.808168610161815, 29.84546636748972]"
"[0.4316693560950814, 0.2158541686618326, 0.5224058523116453, 0.39737404458149045, 0.2724697317985703]","[0.14847647089980903, 0.07993891102023537, 0.06289511415959018, 0.09550758150839897, 0.11736451614643978]","[0.37645671965005334, 0.47823193917426093, 0.49033306721034775, 0.41545955882776175, 0.37650166490355913]","[21.685592411457808, 7.993891102023537, 49.033306721034776, 9.550758150839897, 11.736451614643977]"
"[0.18343254957516364, 0.36048063217157283, 0.3470084260798177, 0.4689778776608726, 0.08211803914469375]","[0.06945324546813161, 0.1177167277296517, 0.1269960906070825, 0.055549954578690434, 0.11042447457681262]","[0.3571208593125141, 0.540095614146078, 0.4586443707221595, 0.43729847676583095, 0.3802130573266373]","[6.945324546813161, 25.58277125821423, 12.69960906070825, 43.72984767658309, 11.042447457681263]"
"[0.1535875262589732, 0.34254922889877515, 0.31144621655317056, 0.14489108288510244, 0.5070622663857527]","[0.07703128912012534, 0.08570049524148618, 0.06667684196279029, 0.06156630788264609, 0.13499630853129133]","[0.3755705273282401, 0.39170140421207966, 0.5036356897466621, 0.5254699758592363, 0.36076743782540766]","[7.703128912012534, 39.17014042120797, 10.893356095974125, 6.156630788264609, 36.07674378254077]"
"[0.46902923710681294, 0.5086185325840638, 0.22024963482061632, 0.36588958200569477, 0.20424468700729137]","[0.09312846841217026, 0.0881373931812038, 0.12230786007905019, 0.10198942582916798, 0.1137281250368378]","[0.5280588518542227, 0.37837565247676425, 0.4896397328515849, 0.4029513135867627, 0.512258711287367]","[28.359893657817977, 37.83756524767642, 12.230786007905019, 10.198942582916798, 11.372812503683779]"
"[0.36563363015721995, 0.14657587548815204, 0.39118863730447057, 0.5354563444518089, 0.05819917024000916]","[0.1441897034081427, 0.08708666854425248, 0.11168475502405616, 0.06506946261133242, 0.08991311889296184]","[0.4919268784028191, 0.4940998851485744, 0.5135317973671314, 0.3672050675328557, 0.3883385108208109]","[14.418970340814269, 8.708666854425248, 31.16054416217873, 36.72050675328557, 8.991311889296185]"
"[0.16317816982332672, 0.45790048674412953, 0.31867035244788433, 0.4188809994659909, 0.49418864286538466]","[0.12520624103757844, 0.056050568227417455, 0.05138537419544242, 0.1351311461118151, 0.13744074640710324]","[0.4377121357158006, 0.4859663329473818, 0.4119847016658827, 0.39348594428891304, 0.4620257865360691]","[12.520624103757843, 22.625145211909498, 5.1385374195442415, 13.513114611181509, 46.20257865360691]"
"[0.3098947673041841, 0.14908794090173394, 0.12231260653808086, 0.16847384583727998, 0.40790710258658763]","[0.06369464972973111, 0.09027925949927271, 0.12326817907197114, 0.12995278164117713, 0.05923220438361675]","[0.45175299524084556, 0.5394935730631343, 0.4813348777167398, 0.40279173317425676, 0.5336117164176927]","[12.288806336988634, 9.02792594992727, 12.326817907197114, 12.995278164117712, 53.36117164176927]"
"[0.3456021282239829, 0.47706183253953655, 0.11117115627353986, 0.4405321922417603, 0.3970639813882252]","[0.13219174371253017, 0.051015873576906734, 0.06035997756576064, 0.07005782542519506, 0.10939791968010337]","[0.35951202479137834, 0.46112379148297244, 0.38715219361396147, 0.4607563148541095, 0.3513346775671907]","[13.219174371253018, 46.112379148297244, 6.035997756576064, 23.692656755863336, 10.939791968010336]"
"[0.07546923449555788, 0.16319709083090234, 0.41052780509439035, 0.05259377220374668, 0.41642084694378717]","[0.12739573248224895, 0.11015750340682567, 0.1417873173652789, 0.10050644029796119, 0.1372508937891384]","[0.43266201716504377, 0.5042306155103958, 0.37899433402231547, 0.50882925402747, 0.4754736853497289]","[12.739573248224895, 11.015750340682567, 18.64666384632352, 10.050644029796118, 47.54736853497289]"
"[0.19001938722790213, 0.5351162480484465, 0.2476845274836323, 0.1307938790404905, 0.13935790897717099]","[0.07675798433693928, 0.08561468491044098, 0.11682659568264916, 0.0508567922076992, 0.11098887715425348]","[0.5115224259945705, 0.4996509520783584, 0.3585103043678368, 0.4572608833467148, 0.434166391430636]","[7.675798433693928, 49.965095207835844, 26.17453942227496, 5.08567922076992, 11.098887715425349]"
"[0.3661854057363467, 0.3050527147312077, 0.47516311700004826, 0.4505295398018746, 0.4011523584403753]","[0.05672137951421666, 0.11514283162947377, 0.10099409212373377, 0.09743148263653137, 0.09332423101988394]","[0.5489358619823141, 0.49473246471556875, 0.39522625000002837, 0.40011915908683915, 0.5169273720388061]","[5.672137951421666, 11.514283162947377, 39.52262500000284, 33.95853078363973, 9.332423101988393]"
"[0.19889888372306158, 0.34068553328219253, 0.45946870696027153, 0.4635771115874766, 0.4912105419895253]","[0.1364144897640054, 0.14696443156057482, 0.1389873203250484, 0.09564319156556504, 0.0648959096941211]","[0.5384066255954849, 0.4981954917695841, 0.35868531090392136, 0.5230608608123754, 0.45089831204559827]","[13.64144897640054, 14.696443156057482, 13.89873203250484, 12.67354463047731, 45.08983120455983]"
"[0.1470412079638994, 0.050753539249479354, 0.4640609316236112, 0.4129052991480893, 0.5248648302147996]","[0.11358712689967058, 0.08927656634019837, 0.12131864539273386, 0.13893010572778774, 0.06426633554164049]","[0.466349940441903, 0.5251647949094241, 0.3526946764947899, 0.42998538763010097, 0.5195339880760924]","[11.358712689967058, 8.927656634019836, 13.867221295625082, 13.893010572778774, 51.95339880760924]"
"[0.5134553883439702, 0.5417368976327726, 0.37107545405643866, 0.057158974744746086, 0.268004378968054]","[0.1229074901104485, 0.08028261561522386, 0.0893475423790283, 0.06919331098487945, 0.06076110673789725]","[0.445039870558495, 0.47375166868084057, 0.5031249256653241, 0.40933409397218734, 0.4817080563670005]","[30.694637121735433, 47.37516686808406, 8.93475423790283, 6.919331098487945, 6.076110673789725]"
"[0.1265569868132393, 0.09208742937094595, 0.4298061663514713, 0.528654657652134, 0.3733362708067724]","[0.07642424453686902, 0.060867242649671985, 0.08402832618342179, 0.1304535405072027, 0.07546812893380205]","[0.3748635242894852, 0.5300633652444329, 0.4686665239100199, 0.39478350674774465, 0.448181179545632]","[7.642424453686902, 6.086724264967199, 39.245687713191224, 39.47835067477447, 7.546812893380205]"
"[0.15287884803495078, 0.4504382423658361, 0.46664777392515233, 0.08753630780122969, 0.538210833854509]","[0.07294133581232823, 0.06717710554719668, 0.10988527585186811, 0.10626958078652882, 0.050999573845197814]","[0.5268785609992904, 0.5040647654068349, 0.4978435145769905, 0.3949786768832543, 0.4684382718546118]","[7.294133581232823, 6.717710554719668, 28.517370599933436, 10.626958078652882, 46.84382718546118]"
"[0.30339208432492065, 0.40717970108265145, 0.28558587796033763, 0.12357654269248865, 0.5489596306617577]","[0.11891248279426177, 0.06587667004957494, 0.07635517379386986, 0.05343419889433265, 0.13404600834507752]","[0.4844769552300726, 0.3717149261346963, 0.36038576839223935, 0.3631480173535656, 0.3851799613757608]","[11.891248279426177, 36.611818314177484, 7.635517379386986, 5.343419889433266, 38.517996137576084]"
"[0.4275789640697369, 0.466370304835525, 0.5373351138212639, 0.5199940384507256, 0.1882401086468259]","[0.13695099023114024, 0.06492664146445623, 0.11062342619251335, 0.067017651460353, 0.07110038032053437]","[0.3914781816237472, 0.46440574603337303, 0.4161560736533475, 0.4399501784157738, 0.35689834187938146]","[13.695099023114023, 6.492664146445623, 41.61560736533475, 31.086591433052163, 7.110038032053437]"
"[0.3320546993943108, 0.0701354135102615, 0.4845742957338681, 0.3977501693392381, 0.3406576226657982]","[0.060059649631938605, 0.10584882176696234, 0.07538662730207714, 0.09425916954051931, 0.07225286255623128]","[0.5315660333623343, 0.3790270992783353, 0.5445476319051843, 0.5156222632262413, 0.5259516479344379]","[6.00596496319386, 10.584882176696233, 54.45476319051843, 21.729103413968357, 7.2252862556231285]"
"[0.2610904855526938, 0.08832259082359024, 0.3847081084407711, 0.14504761640253822, 0.35548250256098973]","[0.071859709308739, 0.12225000446902336, 0.13231297700266703, 0.07920127549816194, 0.14430042165424256]","[0.41469465003584566, 0.5133411336226494, 0.4282285856972591, 0.47483717397182945, 0.4473249292250855]","[7.1859709308739, 12.225000446902335, 42.82285856972591, 7.920127549816194, 29.846042502681662]"
"[0.1307951416140231, 0.34877594208831175, 0.19713676884824904, 0.2555392469047122, 0.4849003635318062]","[0.0761094530402821, 0.0655434058288101, 0.07535176395575315, 0.14500027939307103, 0.08105361093209387]","[0.3994630451589046, 0.4393640592558503, 0.4257084572293405, 0.4970675623168561, 0.4493991572825386]","[7.610945304028211, 25.41393463283552, 7.535176395575315, 14.500027939307103, 44.93991572825386]"
"[0.11957998713956276, 0.08196934151511472, 0.5055019608899199, 0.22223663674963423, 0.4368324375890759]","[0.05636079777915842, 0.120256816145552, 0.060643897391516294, 0.05956153259342868, 0.05641400010589884]","[0.47460701362040336, 0.35846087510079966, 0.5298578159201642, 0.39220750612774574, 0.45438893460605434]","[5.6360797779158425, 12.0256816145552, 52.98578159201642, 5.9561532593428685, 23.396303756169672]"
"[0.10413547158601823, 0.22311187971169993, 0.4832167899127802, 0.05824277996787615, 0.2974912637250682]","[0.1401029077336569, 0.1372593809837887, 0.06585534032434451, 0.10691473432641174, 0.10063059843290958]","[0.4127446736762507, 0.4178087653517796, 0.48507281000780045, 0.5165231348909944, 0.4800013414079804]","[14.010290773365691, 13.72593809837887, 48.50728100078005, 10.691473432641175, 13.065016694834206]"
"[0.07176916375852217, 0.5125193828121531, 0.25119024098596904, 0.17864588669845993, 0.3393369956145148]","[0.14633376410235507, 0.056772978265846485, 0.08549295333096174, 0.11692526794687934, 0.13760735859433532]","[0.5225636749879025, 0.5405283498130369, 0.5186015977125727, 0.409795452920842, 0.4768895250397522]","[14.633376410235508, 51.36406560254684, 8.549295333096174, 11.692526794687934, 13.760735859433531]"
"[0.5282912656576594, 0.4541662160572805, 0.21684603443175693, 0.10489079642654882, 0.4448093692181026]","[0.06084516961895991, 0.13290871848748392, 0.14388011090062475, 0.06411734591267669, 0.053344406267704675]","[0.4360348420648136, 0.5174392159446971, 0.3731920293856285, 0.429693179053798, 0.45667084826658255]","[43.603484206481355, 30.262329485418036, 14.388011090062475, 6.411734591267669, 5.334440626770467]"
"[0.16425327767844417, 0.41630247752232513, 0.10688478769391342, 0.40805518889967884, 0.3159264640507372]","[0.12021631125433514, 0.09018510163756696, 0.10028087778592415, 0.13912580697736432, 0.1362903064665787]","[0.40166922186714793, 0.3810258307641971, 0.363536991870409, 0.5215793596037304, 0.5211499082571573]","[12.021631125433514, 38.10258307641971, 10.028087778592415, 26.21866737289649, 13.629030646657869]"
"[0.3224721299957955, 0.35283545795005683, 0.5246680535891499, 0.12119702720963856, 0.16010929108554944]","[0.09728207447690246, 0.1496881346583151, 0.12968457905042652, 0.07094418723226602, 0.14466576305736661]","[0.4299461964211691, 0.42222038202130735, 0.4144762362810766, 0.3803148186977214, 0.5220064474243312]","[9.728207447690245, 27.263173895238836, 41.447623628107664, 7.094418723226601, 14.46657630573666]"
"[0.49144206774250476, 0.28394440496975626, 0.23633525681095435, 0.1776827770022006, 0.14803768782948967]","[0.06374818312676434, 0.08904655896362504, 0.07430144801321506, 0.14953676029281943, 0.11989615402359134]","[0.3621890575324607, 0.3966644224301831, 0.41943281609923483, 0.4078746879387525, 0.4170951941418953]","[36.21890575324607, 29.407658013791345, 7.430144801321506, 14.953676029281942, 11.989615402359135]"
"[0.5089306261232072, 0.3677881378098301, 0.5164224737186404, 0.34561845949367215, 0.3175892948920014]","[0.07406388679328736, 0.13455846180906805, 0.09403106846564019, 0.12048960485934203, 0.05300396831554908]","[0.5129996067589079, 0.5092448566017171, 0.456037650473744, 0.5127309845679275, 0.39003134170569176]","[23.591031454229686, 13.455846180906805, 45.6037650473744, 12.048960485934202, 5.300396831554908]"
"[0.4027096335679643, 0.21742465323751808, 0.29003582336774403, 0.2027288709079761, 0.27394109005158657]","[0.07322163918645905, 0.08086357944989536, 0.133477789324775, 0.07456773199113362, 0.09016437850849526]","[0.4273924741472147, 0.48803171533590173, 0.5083850797812168, 0.5192295090817208, 0.38092295193639497]","[42.73924741472147, 8.086357944989537, 32.7011835903261, 7.4567731991133614, 9.016437850849526]"
"[0.5291359921160987, 0.47841456634263946, 0.5263743262790344, 0.28510316857902324, 0.36103870309140407]","[0.13941433960339122, 0.05459811658224939, 0.14267931816460433, 0.13469813363252195, 0.1321975098766736]","[0.5209156640010282, 0.42975163664157146, 0.49403210241406803, 0.3653138601833977, 0.42418333420989457]","[52.09156640010282, 5.459811658224939, 15.759057590752688, 13.469813363252195, 13.21975098766736]"
"[0.48073999886420493, 0.1662770740960805, 0.09029203055022357, 0.3481724368500685, 0.36126589397179215]","[0.1274661386926591, 0.0737473702624728, 0.14341732657268524, 0.11921309623981373, 0.1365763443226885]","[0.38219468933597023, 0.4646178556146423, 0.5112641085014116, 0.4467804085001751, 0.440061974620015]","[38.21946893359702, 7.37473702624728, 14.341732657268524, 11.921309623981372, 28.142751758905803]"
"[0.5117694329568784, 0.30619948214534154, 0.21692247368866097, 0.5282788604453926, 0.2096980614182739]","[0.055366516763684606, 0.053727503084096455, 0.14881153065112854, 0.08895214109579766, 0.05390834462638649]","[0.4184104239506437, 0.35034557192373383, 0.4693499238932949, 0.4455269569031541, 0.46355647793980265]","[29.802566473523438, 5.372750308409645, 14.881153065112853, 44.55269569031541, 5.390834462638649]"
"[0.5335782074196245, 0.2858761241666217, 0.2546625120867189, 0.43858825871696533, 0.06890861159983798]","[0.1425312255750047, 0.10563083868644402, 0.1331183657194303, 0.08930099150809966, 0.07790949751528758]","[0.4568910636328801, 0.43709350696989535, 0.5420809798279853, 0.5213458040547653, 0.3732278613828439]","[45.68910636328801, 10.563083868644402, 13.311836571943031, 22.645023444595793, 7.790949751528759]"
"[0.14978230923013763, 0.20444954911493712, 0.3050973124897762, 0.4889346357324545, 0.44378568867302376]","[0.10108477991044487, 0.0767353766346798, 0.1466682615377078, 0.05542527856399886, 0.081608706580418]","[0.38964726451720433, 0.353214755996061, 0.42863772408647155, 0.3634386592729557, 0.3814152247143943]","[10.108477991044488, 7.673537663467981, 14.66682615377078, 36.34386592729557, 31.207292264421184]"
"[0.511816007841917, 0.3984412023274893, 0.29182713290422674, 0.11101904106518591, 0.15575690777912188]","[0.0755221597116418, 0.05389846471688945, 0.07601881330181609, 0.1309093788216878, 0.1295362072164551]","[0.35374550840944763, 0.3505398396625884, 0.5112254225132588, 0.5163329218060675, 0.5132196246890779]","[35.374550840944764, 30.97900922505934, 7.601881330181609, 13.09093788216878, 12.953620721645509]"
"[0.4900175033607594, 0.09676693365186818, 0.11582300241443201, 0.2700316111902359, 0.13232570613553918]","[0.0812292083985447, 0.11996224562655473, 0.09910734457245285, 0.09767637904139792, 0.08289400996408858]","[0.4869579955791751, 0.5049044719046689, 0.39049477951312916, 0.3879180328529626, 0.544022133598754]","[48.69579955791751, 11.996224562655474, 9.910734457245285, 21.107840425772878, 8.289400996408858]"
"[0.5216964102884154, 0.11266707843975589, 0.504448236406715, 0.2900486504258174, 0.39268802404342423]","[0.11040015655430713, 0.11402462825381768, 0.11018200926484148, 0.08799002456515177, 0.12775164718756143]","[0.4911406641490839, 0.40576807283109606, 0.4036422841701581, 0.5374078291032159, 0.5065412943525558]","[49.11406641490839, 11.402462825381768, 17.90930358443852, 8.799002456515177, 12.775164718756143]"
"[0.20811584389729626, 0.5486410694296877, 0.4387258390639744, 0.45332341644440693, 0.3413100492930739]","[0.052271661767832184, 0.0908424017020151, 0.11047292677779658, 0.09000101610991026, 0.09554255661861681]","[0.5353151007600736, 0.549568668751219, 0.3611424140239775, 0.4331386477982435, 0.5240531293932602]","[5.227166176783219, 54.956866875121904, 11.047292677779657, 19.214418608453542, 9.554255661861681]"
"[0.30062085897355223, 0.2021373985351832, 0.37144685833222996, 0.25478104160313003, 0.1294430659570293]","[0.1030359914106682, 0.12639794158448936, 0.11792443036569905, 0.09988015303635217, 0.10846129628040499]","[0.36587757595598697, 0.4580818872793221, 0.5276510988682535, 0.47944569068565246, 0.42697328848270377]","[13.760951023049998, 12.639794158448936, 52.76510988682534, 9.988015303635217, 10.846129628040499]"
